Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,9,0,1,9,59,2
1.08,I,9,0,1,9,61,4
1.17,I,9,0,1,9,61,4
2.08,I,9,0,1,9,59,2
2.17,I,9,0,1,9,57,0
3.0,V,4,7,5,9,57,0
3.17,V,4,7,5,9,61,4
3.33,V,4,7,5,9,59,2
3.42,V,4,7,5,9,61,4
3.5,V,4,7,5,9,59,2
3.92,V,4,7,5,9,57,0
4.0,V,4,7,5,9,56,11
5.0,I,9,0,1,9,56,11
5.17,I,9,0,1,9,56,11
5.33,I,9,0,1,9,59,2
5.58,I,9,0,1,9,59,2
5.67,I,9,0,1,9,57,0
7.0,V,4,7,5,9,57,0
8.78,V,4,7,5,9,64,7
8.83,V,4,7,5,9,66,9
9.0,V,4,7,5,9,69,0
9.0,I,9,0,1,9,69,0
10.22,I,9,0,1,9,66,9
10.25,I,9,0,1,9,64,7
10.89,I,9,0,1,9,61,4
11.0,I,9,0,1,9,64,7
11.0,V7/vi,1,4,3,9,64,7
11.11,V7/vi,1,4,3,9,64,7
11.17,V7/vi,1,4,3,9,66,9
11.28,V7/vi,1,4,3,9,64,7
11.39,V7/vi,1,4,3,9,64,7
11.44,V7/vi,1,4,3,9,66,9
11.67,V7/vi,1,4,3,9,61,4
12.94,V7/vi,1,4,3,9,66,9
13.0,IV,2,5,4,9,66,9
13.06,IV,2,5,4,9,66,9
13.17,IV,2,5,4,9,64,7
13.28,IV,2,5,4,9,64,7
13.39,IV,2,5,4,9,64,7
13.44,IV,2,5,4,9,66,9
13.67,IV,2,5,4,9,59,2
13.72,IV,2,5,4,9,57,0
13.83,IV,2,5,4,9,57,0
14.83,IV,2,5,4,9,54,9
14.92,IV,2,5,4,9,57,0
15.0,bVI,5,8,6,9,57,0
15.17,bVI,5,8,6,9,54,9
15.25,bVI,5,8,6,9,57,0
15.33,bVI,5,8,6,9,57,0
15.5,bVI,5,8,6,9,60,3
15.58,bVI,5,8,6,9,59,2
15.62,bVI,5,8,6,9,57,0
15.92,bVI,5,8,6,9,59,2
16.0,bVI,5,8,6,9,57,0
16.17,bVI,5,8,6,9,62,5
16.28,bVI,5,8,6,9,60,3
16.92,bVI,5,8,6,9,64,7
17.0,I,9,0,1,9,64,7
17.11,I,9,0,1,9,61,4
17.17,I,9,0,1,9,59,2
17.28,I,9,0,1,9,61,4
17.33,I,9,0,1,9,59,2
17.5,I,9,0,1,9,61,4
17.83,I,9,0,1,9,59,2
17.86,I,9,0,1,9,61,4
18.0,I,9,0,1,9,59,2
18.03,I,9,0,1,9,61,4
18.11,I,9,0,1,9,61,4
18.17,I,9,0,1,9,59,2
18.19,I,9,0,1,9,57,0
19.0,V,4,7,5,9,57,0
19.11,V,4,7,5,9,64,7
19.28,V,4,7,5,9,61,4
19.39,V,4,7,5,9,59,2
19.83,V,4,7,5,9,57,0
19.86,V,4,7,5,9,56,11
20.92,V,4,7,5,9,52,7
21.0,I,9,0,1,9,52,7
21.0,I,9,0,1,9,54,9
21.08,I,9,0,1,9,57,0
21.17,I,9,0,1,9,57,0
21.33,I,9,0,1,9,59,2
21.56,I,9,0,1,9,59,2
21.61,I,9,0,1,9,57,0
22.78,I,9,0,1,9,60,3
22.83,I,9,0,1,9,59,2
22.86,I,9,0,1,9,57,0
23.0,V,4,7,5,9,57,0
24.5,V,4,7,5,9,57,0
24.67,V,4,7,5,9,57,0
24.83,V,4,7,5,9,59,2
24.92,V,4,7,5,9,57,0
25.0,I,9,0,1,9,57,0
25.0,I,9,0,1,9,61,4
25.08,I,9,0,1,9,59,2
25.12,I,9,0,1,9,61,4
25.21,I,9,0,1,9,59,2
25.25,I,9,0,1,9,61,4
25.33,I,9,0,1,9,59,2
25.38,I,9,0,1,9,61,4
26.92,I,9,0,1,9,61,4
27.0,V,4,7,5,9,61,4
27.0,V,4,7,5,9,64,7
27.17,V,4,7,5,9,59,2
27.25,V,4,7,5,9,61,4
27.33,V,4,7,5,9,59,2
27.5,V,4,7,5,9,59,2
27.58,V,4,7,5,9,59,2
27.88,V,4,7,5,9,57,0
27.92,V,4,7,5,9,56,11
29.0,I,9,0,1,9,56,11
29.0,I,9,0,1,9,57,0
29.08,I,9,0,1,9,61,4
29.33,I,9,0,1,9,59,2
29.42,I,9,0,1,9,57,0
29.58,I,9,0,1,9,59,2
29.67,I,9,0,1,9,57,0
30.12,I,9,0,1,9,54,9
30.17,I,9,0,1,9,52,7
30.21,I,9,0,1,9,50,5
30.25,I,9,0,1,9,49,4
30.29,I,9,0,1,9,47,2
30.33,I,9,0,1,9,49,4
31.0,V,4,7,5,9,49,4
32.78,V,4,7,5,9,64,7
32.83,V,4,7,5,9,66,9
33.0,V,4,7,5,9,69,0
33.0,I,9,0,1,9,69,0
34.25,I,9,0,1,9,64,7
34.83,I,9,0,1,9,61,4
34.92,I,9,0,1,9,64,7
35.0,I,9,0,1,9,66,9
35.0,V7/vi,1,4,3,9,66,9
35.17,V7/vi,1,4,3,9,64,7
35.25,V7/vi,1,4,3,9,64,7
35.33,V7/vi,1,4,3,9,66,9
35.58,V7/vi,1,4,3,9,61,4
35.92,V7/vi,1,4,3,9,59,2
36.08,V7/vi,1,4,3,9,57,0
36.12,V7/vi,1,4,3,9,59,2
36.17,V7/vi,1,4,3,9,61,4
36.83,V7/vi,1,4,3,9,66,9
36.94,V7/vi,1,4,3,9,64,7
37.0,V7/vi,1,4,3,9,66,9
37.0,IV,2,5,4,9,66,9
37.06,IV,2,5,4,9,64,7
37.17,IV,2,5,4,9,61,4
37.28,IV,2,5,4,9,64,7
37.33,IV,2,5,4,9,66,9
37.39,IV,2,5,4,9,64,7
37.44,IV,2,5,4,9,66,9
37.61,IV,2,5,4,9,59,2
37.67,IV,2,5,4,9,57,0
37.78,IV,2,5,4,9,57,0
38.83,IV,2,5,4,9,54,9
38.92,IV,2,5,4,9,57,0
39.0,bVI,5,8,6,9,57,0
39.17,bVI,5,8,6,9,57,0
39.25,bVI,5,8,6,9,60,3
39.33,bVI,5,8,6,9,59,2
39.38,bVI,5,8,6,9,57,0
39.75,bVI,5,8,6,9,57,0
39.83,bVI,5,8,6,9,60,3
39.92,bVI,5,8,6,9,59,2
39.96,bVI,5,8,6,9,57,0
40.11,bVI,5,8,6,9,59,2
40.17,bVI,5,8,6,9,57,0
40.28,bVI,5,8,6,9,62,5
40.33,bVI,5,8,6,9,60,3
41.0,I,9,0,1,9,60,3
41.17,I,9,0,1,9,54,9
41.22,I,9,0,1,9,57,0
41.33,I,9,0,1,9,59,2
41.39,I,9,0,1,9,61,4
41.5,I,9,0,1,9,61,4
41.97,I,9,0,1,9,59,2
42.0,I,9,0,1,9,61,4
42.06,I,9,0,1,9,59,2
42.08,I,9,0,1,9,61,4
42.14,I,9,0,1,9,59,2
42.17,I,9,0,1,9,61,4
42.31,I,9,0,1,9,59,2
42.33,I,9,0,1,9,57,0
43.0,V,4,7,5,9,57,0
43.17,V,4,7,5,9,64,7
43.33,V,4,7,5,9,61,4
43.42,V,4,7,5,9,59,2
43.5,V,4,7,5,9,61,4
43.58,V,4,7,5,9,59,2
44.0,V,4,7,5,9,56,11
45.0,I,9,0,1,9,56,11
45.17,I,9,0,1,9,56,11
45.33,I,9,0,1,9,59,2
45.5,I,9,0,1,9,57,0
45.58,I,9,0,1,9,59,2
45.67,I,9,0,1,9,57,0
46.83,I,9,0,1,9,60,3
47.0,bVI,5,8,6,9,60,3
47.0,bVI,5,8,6,9,59,2
47.08,bVI,5,8,6,9,57,0
47.83,bVI,5,8,6,9,60,3
47.92,bVI,5,8,6,9,59,2
48.0,bVI,5,8,6,9,57,11
48.0,V,5,7,5,10,57,11
48.17,V,5,7,5,10,59,1
48.25,V,5,7,5,10,57,11
48.83,V,5,7,5,10,58,0
49.0,I,10,0,1,10,58,0
49.0,I,10,0,1,10,60,2
49.17,I,10,0,1,10,60,2
49.25,I,10,0,1,10,62,4
49.33,I,10,0,1,10,62,4
49.83,I,10,0,1,10,60,2
49.88,I,10,0,1,10,62,4
49.96,I,10,0,1,10,60,2
50.0,I,10,0,1,10,62,4
50.08,I,10,0,1,10,62,4
50.12,I,10,0,1,10,60,2
50.17,I,10,0,1,10,58,0
50.96,I,10,0,1,10,62,4
51.0,V,5,7,5,10,62,4
51.0,V,5,7,5,10,65,7
51.17,V,5,7,5,10,62,4
51.25,V,5,7,5,10,60,2
51.33,V,5,7,5,10,62,4
51.42,V,5,7,5,10,60,2
51.79,V,5,7,5,10,58,0
51.83,V,5,7,5,10,57,11
52.67,V,5,7,5,10,62,4
52.75,V,5,7,5,10,65,7
52.83,V,5,7,5,10,65,7
52.92,V,5,7,5,10,62,4
53.0,I,10,0,1,10,62,4
53.08,I,10,0,1,10,62,4
53.17,I,10,0,1,10,58,0
53.33,I,10,0,1,10,60,2
53.42,I,10,0,1,10,58,0
55.0,I,10,0,1,10,61,3
55.0,bVI,6,8,6,10,61,3
55.12,bVI,6,8,6,10,60,2
55.17,bVI,6,8,6,10,58,0
55.83,bVI,6,8,6,10,61,3
55.92,bVI,6,8,6,10,60,2
55.96,bVI,6,8,6,10,58,0
56.62,bVI,6,8,6,10,65,7
56.75,bVI,6,8,6,10,63,5
56.88,bVI,6,8,6,10,61,3
57.0,I,10,0,1,10,61,3
57.0,I,10,0,1,10,62,4
57.17,I,10,0,1,10,62,4
57.21,I,10,0,1,10,60,2
57.25,I,10,0,1,10,62,4
57.29,I,10,0,1,10,60,2
57.33,I,10,0,1,10,62,4
58.83,I,10,0,1,10,61,3
58.88,I,10,0,1,10,60,2
58.92,I,10,0,1,10,58,0
59.0,bVI,6,8,6,10,58,0
59.17,bVI,6,8,6,10,61,3
59.28,bVI,6,8,6,10,58,0
59.33,bVI,6,8,6,10,58,0
60.83,bVI,6,8,6,10,65,7
60.92,bVI,6,8,6,10,65,7
61.0,I,10,0,1,10,65,7
61.0,I,10,0,1,10,63,5
61.17,I,10,0,1,10,63,5
61.33,I,10,0,1,10,62,4
61.38,I,10,0,1,10,60,2
61.42,I,10,0,1,10,62,4
61.46,I,10,0,1,10,60,2
61.5,I,10,0,1,10,62,4
62.67,I,10,0,1,10,65,7
62.75,I,10,0,1,10,68,10
62.92,I,10,0,1,10,65,7
63.0,bVI,6,8,6,10,65,7
63.5,bVI,6,8,6,10,65,7
63.58,bVI,6,8,6,10,68,10
63.75,bVI,6,8,6,10,65,7
64.08,bVI,6,8,6,10,65,7
64.17,bVI,6,8,6,10,68,10
65.0,I,10,0,1,10,68,10
66.67,I,10,0,1,10,62,4
66.78,I,10,0,1,10,60,2
66.83,I,10,0,1,10,58,0
67.0,bVI,6,8,6,10,58,0
67.17,bVI,6,8,6,10,68,10
67.33,bVI,6,8,6,10,66,8
67.67,bVI,6,8,6,10,70,0
67.92,bVI,6,8,6,10,68,10
68.0,bVI,6,8,6,10,65,7
69.0,End,6,8,6,10,65,7
